epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9612,2.31653,2.3647,1.39173,0.01558,0.51077,0.01047,0.00353,2.38157,inf,1.44585,0.000656566,0.000656566,0.000656566
2,72.5764,2.23651,1.37323,1.3509,0.00978,0.12308,0.0041,0.00128,3.00218,10.7514,1.71222,0.00129703,0.00129703,0.00129703
3,108.457,2.27214,1.36722,1.35933,0.49793,0.47909,0.44029,0.17245,2.12555,4.22849,1.28824,0.0019111,0.0019111,0.0019111
4,149.797,2.24882,1.35855,1.35996,0.53861,0.45231,0.40691,0.16416,2.15143,1.52821,1.28685,0.0018812,0.0018812,0.0018812
5,187.09,2.1763,1.25961,1.32165,0.65847,0.47385,0.50844,0.1743,2.22413,1.54697,1.24867,0.0018416,0.0018416,0.0018416
6,224.716,2.12137,1.17561,1.29933,0.77279,0.64923,0.6529,0.26979,1.99708,1.06931,1.17598,0.001802,0.001802,0.001802
7,264.762,2.11579,1.16455,1.28103,0.68575,0.47,0.50592,0.18327,2.13433,1.24973,1.22296,0.0017624,0.0017624,0.0017624
8,304.663,2.1015,1.17365,1.27179,0.69567,0.66462,0.63624,0.25924,2.01671,1.0834,1.20642,0.0017228,0.0017228,0.0017228
9,341.552,2.07255,1.12306,1.2736,0.59299,0.62312,0.52936,0.19209,2.14469,1.42354,1.24209,0.0016832,0.0016832,0.0016832
10,381.334,2.0432,1.1264,1.26437,0.8045,0.68923,0.68459,0.2642,2.00045,1.0699,1.19787,0.0016436,0.0016436,0.0016436
11,421.003,2.06393,1.11604,1.27485,0.74391,0.66462,0.67752,0.25128,2.00746,1.01741,1.18386,0.001604,0.001604,0.001604
12,458.346,2.04677,1.1112,1.25394,0.70892,0.67443,0.6866,0.26746,1.93794,1.03835,1.1773,0.0015644,0.0015644,0.0015644
13,500.011,2.10092,1.12441,1.26921,0.74216,0.66154,0.69332,0.26469,2.0496,1.07542,1.2216,0.0015248,0.0015248,0.0015248
14,536.141,2.01981,1.0657,1.21845,0.75404,0.63385,0.64062,0.23105,2.07853,1.04896,1.22822,0.0014852,0.0014852,0.0014852
15,572.075,2.02326,1.07635,1.25047,0.79965,0.6,0.6551,0.25067,2.04714,1.03697,1.21526,0.0014456,0.0014456,0.0014456
16,608.544,2.01988,1.04621,1.22703,0.77795,0.63385,0.62925,0.24254,2.07376,1.02469,1.22806,0.001406,0.001406,0.001406
17,649.19,1.98037,1.01737,1.22744,0.72535,0.66462,0.64777,0.26073,1.954,1.13554,1.16307,0.0013664,0.0013664,0.0013664
18,685.316,1.96584,1.00256,1.20096,0.71738,0.69512,0.70317,0.26525,2.01963,1.00446,1.1868,0.0013268,0.0013268,0.0013268
19,721.53,1.94665,0.96858,1.20495,0.77748,0.66769,0.70786,0.29738,1.98644,0.95148,1.18087,0.0012872,0.0012872,0.0012872
20,763.719,1.96684,1.02216,1.21042,0.71624,0.62769,0.63417,0.23941,2.11424,1.07943,1.23417,0.0012476,0.0012476,0.0012476
21,799.583,1.95687,1.02046,1.20487,0.8021,0.64849,0.71786,0.28618,1.96424,0.97847,1.17427,0.001208,0.001208,0.001208
22,835.149,1.91105,0.96689,1.19572,0.76325,0.69435,0.70849,0.29771,2.00077,0.97205,1.18236,0.0011684,0.0011684,0.0011684
23,877.083,1.92459,1.00704,1.19032,0.76169,0.70769,0.71148,0.28378,2.02484,0.96326,1.18449,0.0011288,0.0011288,0.0011288
24,917.706,1.92702,0.96487,1.19168,0.75515,0.71077,0.70107,0.2856,1.95146,0.98565,1.15807,0.0010892,0.0010892,0.0010892
25,953.235,1.89844,0.95964,1.1937,0.80221,0.67391,0.71751,0.29022,2.01275,0.94259,1.16712,0.0010496,0.0010496,0.0010496
26,989.494,1.89528,0.96701,1.1807,0.82486,0.71077,0.76194,0.30698,2.00252,0.94412,1.18814,0.00101,0.00101,0.00101
27,1032.75,1.8688,0.9448,1.17149,0.75853,0.70154,0.70799,0.26288,2.12607,1.00312,1.22034,0.0009704,0.0009704,0.0009704
28,1073.26,1.89243,0.9303,1.17933,0.78933,0.72628,0.74841,0.31448,1.9431,0.91803,1.1508,0.0009308,0.0009308,0.0009308
29,1114.7,1.80463,0.913,1.15839,0.80232,0.7243,0.74198,0.30697,1.93662,0.89997,1.15117,0.0008912,0.0008912,0.0008912
30,1155.86,1.84306,0.90204,1.15103,0.79954,0.71077,0.72936,0.30399,1.96271,0.93752,1.14469,0.0008516,0.0008516,0.0008516
31,1196.63,1.85353,0.8947,1.16832,0.80308,0.74034,0.76485,0.31661,1.97843,0.89234,1.16,0.000812,0.000812,0.000812
32,1238.19,1.83448,0.89805,1.15684,0.83109,0.72308,0.75305,0.30801,1.92488,0.91408,1.1343,0.0007724,0.0007724,0.0007724
33,1273.78,1.86318,0.90866,1.15366,0.75312,0.72273,0.73392,0.30347,1.96926,0.98221,1.15951,0.0007328,0.0007328,0.0007328
34,1314.84,1.7958,0.8812,1.13531,0.82717,0.69212,0.7541,0.30681,1.99715,0.90473,1.15991,0.0006932,0.0006932,0.0006932
35,1355.07,1.78449,0.85402,1.14802,0.80657,0.70462,0.73922,0.30529,1.96781,0.89518,1.14278,0.0006536,0.0006536,0.0006536
36,1390.73,1.77129,0.84744,1.14168,0.77303,0.70154,0.72815,0.28708,2.07661,0.94647,1.19092,0.000614,0.000614,0.000614
37,1426.43,1.78682,0.86901,1.1398,0.81874,0.73231,0.76791,0.3076,1.9688,0.88201,1.14861,0.0005744,0.0005744,0.0005744
38,1462.53,1.77174,0.84371,1.12044,0.80864,0.72,0.74367,0.32676,1.89264,0.86762,1.13451,0.0005348,0.0005348,0.0005348
39,1504.2,1.78911,0.84908,1.14253,0.78403,0.72,0.7355,0.30288,1.94814,0.89564,1.14527,0.0004952,0.0004952,0.0004952
40,1539.96,1.78005,0.85067,1.13883,0.82051,0.70328,0.75227,0.30563,1.97111,0.89681,1.14375,0.0004556,0.0004556,0.0004556
41,1577.51,1.76982,0.84134,1.15044,0.82277,0.68923,0.69682,0.27836,2.08366,0.92526,1.20584,0.000416,0.000416,0.000416
42,1618.34,1.73803,0.8277,1.13519,0.8015,0.72058,0.7476,0.32143,1.96039,0.87409,1.14794,0.0003764,0.0003764,0.0003764
